name;time;threads;USE_LOCAL_MEM;TBX;TBY;
medfilt;471.56;1;0;1;1;
medfilt;466.46;4;0;1;4;
medfilt;467.39;8;0;1;8;
medfilt;467.94;16;0;1;16;
medfilt;469.49;32;0;1;32;
medfilt;467.49;4;0;4;1;
medfilt;439.86;16;0;4;4;
medfilt;460.82;32;0;4;8;
medfilt;479.05;64;0;4;16;
medfilt;472.42;128;0;4;32;
medfilt;444.31;8;0;8;1;
medfilt;462.82;32;0;8;4;
medfilt;463.71;64;0;8;8;
medfilt;463.38;128;0;8;16;
medfilt;482.08;256;0;8;32;
medfilt;473.17;16;0;16;1;
medfilt;454.17;64;0;16;4;
medfilt;462.52;128;0;16;8;
medfilt;446.17;256;0;16;16;
medfilt;463.51;512;0;16;32;
medfilt;469.28;32;0;32;1;
medfilt;467.25;128;0;32;4;
medfilt;454.77;256;0;32;8;
medfilt;463.43;512;0;32;16;
medfilt;467.05;1024;0;32;32;
medfilt;461.81;1;1;1;1;
medfilt;474.40;4;1;1;4;
medfilt;469.18;8;1;1;8;
medfilt;458.20;16;1;1;16;
medfilt;472.36;32;1;1;32;
medfilt;462.31;4;1;4;1;
medfilt;454.05;16;1;4;4;
medfilt;467.02;32;1;4;8;
medfilt;455.22;64;1;4;16;
medfilt;433.43;128;1;4;32;
medfilt;469.17;8;1;8;1;
medfilt;451.39;32;1;8;4;
medfilt;432.29;64;1;8;8;
medfilt;445.63;128;1;8;16;
medfilt;446.07;256;1;8;32;
medfilt;468.30;16;1;16;1;
medfilt;458.59;64;1;16;4;
medfilt;453.51;128;1;16;8;
medfilt;505.83;256;1;16;16;
medfilt;498.01;512;1;16;32;
medfilt;491.01;32;1;32;1;
medfilt;468.63;128;1;32;4;
medfilt;472.79;256;1;32;8;
medfilt;510.64;512;1;32;16;
medfilt;539.23;1024;1;32;32;
